epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,6229.64,0.94272,0.57512,0.96594,0.9077,0.87484,0.93604,0.67848,0.95377,0.56825,0.97593,0.000742625,0.000742625,0.000742625
43,6377.65,0.94059,0.57089,0.96373,0.90698,0.87916,0.93784,0.67964,0.94693,0.56101,0.97869,0.00073025,0.00073025,0.00073025
44,6523.82,0.93378,0.56655,0.96099,0.90385,0.88351,0.93961,0.6833,0.94327,0.55409,0.97623,0.000717875,0.000717875,0.000717875
45,6669.55,0.93907,0.5669,0.96439,0.9007,0.89162,0.93907,0.68574,0.94112,0.54899,0.97348,0.0007055,0.0007055,0.0007055
46,6817.15,0.93348,0.56055,0.95874,0.91513,0.87276,0.93899,0.68524,0.93888,0.55064,0.97406,0.000693125,0.000693125,0.000693125
47,6962.9,0.92171,0.5598,0.9585,0.9018,0.88062,0.93819,0.68476,0.94335,0.5527,0.97422,0.00068075,0.00068075,0.00068075
48,7108.85,0.93199,0.56979,0.96046,0.90911,0.8827,0.93865,0.68489,0.94139,0.55168,0.97487,0.000668375,0.000668375,0.000668375
49,7256.72,0.93026,0.56075,0.96218,0.90811,0.88091,0.93873,0.68624,0.93797,0.54399,0.97232,0.000656,0.000656,0.000656
50,7402.46,0.92841,0.55592,0.95951,0.91339,0.88622,0.94097,0.68859,0.9266,0.5375,0.96511,0.000643625,0.000643625,0.000643625
51,7548.57,0.92497,0.55339,0.95867,0.90234,0.88508,0.94027,0.68689,0.93204,0.53802,0.96871,0.00063125,0.00063125,0.00063125
52,7696.33,0.9176,0.54687,0.95297,0.90876,0.8848,0.94,0.68923,0.92921,0.54487,0.96744,0.000618875,0.000618875,0.000618875
53,7841.69,0.91517,0.54577,0.95521,0.91504,0.87852,0.94191,0.69097,0.92104,0.53388,0.96351,0.0006065,0.0006065,0.0006065
54,7987.61,0.91175,0.54591,0.95421,0.91726,0.88037,0.94335,0.69311,0.91935,0.52897,0.96427,0.000594125,0.000594125,0.000594125
55,8135.6,0.91359,0.54535,0.95448,0.90815,0.88304,0.94082,0.69017,0.91919,0.53705,0.96613,0.00058175,0.00058175,0.00058175
56,8282.36,0.91158,0.53868,0.95288,0.91002,0.88601,0.94094,0.69112,0.92259,0.53733,0.96476,0.000569375,0.000569375,0.000569375
57,8430.79,0.89885,0.53219,0.94679,0.91002,0.88575,0.94143,0.69417,0.91643,0.53444,0.96435,0.000557,0.000557,0.000557
58,8580.19,0.90314,0.53131,0.94992,0.90937,0.89056,0.94187,0.69619,0.91322,0.52741,0.96178,0.000544625,0.000544625,0.000544625
59,8728.4,0.89208,0.52838,0.94646,0.91301,0.8831,0.94047,0.69381,0.91835,0.53433,0.96394,0.00053225,0.00053225,0.00053225
60,8878.12,0.89703,0.52647,0.94861,0.91455,0.88067,0.94116,0.69596,0.91305,0.53234,0.96592,0.000519875,0.000519875,0.000519875
61,9028.23,0.89253,0.52735,0.94735,0.91293,0.88456,0.94254,0.69604,0.91225,0.53113,0.96032,0.0005075,0.0005075,0.0005075
62,9177.88,0.89381,0.52317,0.94713,0.91176,0.88307,0.94133,0.69352,0.91094,0.53052,0.95833,0.000495125,0.000495125,0.000495125
63,9327.63,0.88934,0.52637,0.94487,0.9139,0.88905,0.94338,0.69963,0.90778,0.52291,0.96027,0.00048275,0.00048275,0.00048275
64,9475.95,0.88112,0.5221,0.93931,0.91384,0.88686,0.94176,0.69728,0.90876,0.52506,0.95822,0.000470375,0.000470375,0.000470375
65,9624.82,0.88421,0.51999,0.94092,0.91297,0.88824,0.94294,0.69968,0.90617,0.52182,0.95972,0.000458,0.000458,0.000458
66,9775.14,0.87822,0.51433,0.94057,0.915,0.88728,0.94318,0.7005,0.90431,0.52325,0.95722,0.000445625,0.000445625,0.000445625
67,9924.33,0.87664,0.51496,0.94089,0.91702,0.88335,0.94457,0.7021,0.90179,0.52151,0.95938,0.00043325,0.00043325,0.00043325
68,10073.9,0.87274,0.50994,0.93943,0.91877,0.88393,0.94326,0.70065,0.90386,0.5211,0.96083,0.000420875,0.000420875,0.000420875
69,10222.3,0.873,0.51329,0.93927,0.92003,0.88305,0.94212,0.70178,0.90336,0.52207,0.96081,0.0004085,0.0004085,0.0004085
70,10370.2,0.871,0.50756,0.93979,0.91896,0.88457,0.94388,0.70348,0.90024,0.51784,0.96037,0.000396125,0.000396125,0.000396125
71,10517.3,0.86913,0.50889,0.93854,0.9186,0.88291,0.94319,0.70349,0.89805,0.51902,0.95825,0.00038375,0.00038375,0.00038375
